city,storeType,address,telephone,geolocation,dineIn,delivery
Faridabad,"Kiosk, Delivery","1-2, SRS World, GF City Centre, Sector-12, Faridabad- 121007",9873400698,https://goo.gl/maps/teguuGjf9AkE29iz6,Open,Open
Bhatinda,"Breakfast Store, Drive-Thru","12, Village Bhucho Kalan. Tehsil Nathana, Dist. Bhatinda. Punjab- 151001",8283888099,https://goo.gl/maps/CTQEoZdQCP9yizWW9,Open,Open
Rohtak,Delivery,"1238-1284 (P), Ward No. 29, Delhi Road. Opp. To Power House, Rohtak- 124001",8295876611,https://goo.gl/maps/47WQvEYfGGdFcmUL9,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery","15, Ground Floor, Shop no:- 3, Sector:- 5, Raj Laxmi Plaza (MLU), Dwarka, New Delhi- 110075",9899730908,https://goo.gl/maps/aowwMoEDAoj4Xea57,Open,Open
Delhi,Delivery,"16, Manglam Palace, DDA Central Market Sector-3, Rohini, New Delhi- 110085",9899795814,https://goo.gl/maps/EuvM6yi1SyhL55eaA,Open,Open
Delhi,"Kiosk, Delivery","17A, Regal Building. Connaught Place. New Delhi- 110001",9873162936,https://goo.gl/maps/U9isTtTGbzppVK7m7,Open,Open
Kurukshetra,"Delivery, Birthday Store","1st Floor. Block No. A, Divine B'ness Park. Opp New Bus Stand, Kurukshetra. Pipli Road. Haryana- 136118",9996546611,https://goo.gl/maps/6kSBEPKL3pDq7oot5,Open,Open
Delhi,"Extended Hours, Delivery","2, Community Centre, Saket, New Delhi- 110017",9899795802,https://goo.gl/maps/StvwwvrTtL3DwnTA7,Open,Open
Delhi,"Breakfast Store, Delivery, Birthday Store","23 West Punjabi Bagh. Central Market , New Delhi-110026",9899795807,https://goo.gl/maps/BYyqhyBX9EYxhczx6,Open,Open
Aligarh,"Delivery, Birthday Store","3/ 106A- I, Ground Floor & First Floor, Hem Chand Compound, Marris Road, Aligarh (U.P.)- 202001",7409885888,https://goo.gl/maps/8efV881ALyzn5Mqe8,Open,Open
Delhi,"Breakfast Store, Kiosk, Delivery","30/4, 30/4A, Double Storey. Ashok Nagar, Tehar-II New Delhi- 110018",8376902651,https://goo.gl/maps/B9xkagtgRkGfUrqa6,Open,Open
Dehradun,"Delivery, Birthday Store","3rd Astley Hall, Rajpur Road, Dehradun-248001",9719401785,https://goo.gl/maps/WWiecYyUFS7RXbee6,Open,Open
Delhi,"Breakfast Store, Delivery","42, Janpath, Tolstoy Marg, New Delhi- 110001",9711882133,https://goo.gl/maps/XWXNNJjDfPjTTjNF8,Open,Open
Delhi,"Breakfast Store, Extended Hours, Delivery","47, Basant Lok, Community Centre, Vasant Vihar, New Delhi-110057",9899795811,https://goo.gl/maps/QBWwF3jEDFjussUH6,Open,Open
Delhi,"Kiosk, Delivery","5/76, West Ajmal Khan, Padam Singh, Karol Bagh, New Delhi-110005",9899795804,https://goo.gl/maps/45tmApQVQZ1b7jMB6,Open,Open
Delhi,Delivery,"6A-6B, Sonia Cinema Complex, Vikas Puri, New Delhi- 110018",9899795810,https://goo.gl/maps/6e4y761c2UtqFP9z7,Open,Open
